Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Georgia,Dooly County,Female Breast,Female,49.1,23,32667
Georgia,Twiggs County,Female Breast,Female,67.4,19,21487
Georgia,Pulaski County,Female Breast,Female,70.6,32,32797
Georgia,Candler County,Female Breast,Female,69.9,22,27852
Georgia,Marion County,Female Breast,Female,74.5,22,21759
Georgia,Telfair County,Female Breast,Female,67.5,32,33755
Georgia,Wilcox County,Female Breast,Female,85.4,19,18164
Georgia,Johnson County,Female Breast,Female,81,26,21602
Georgia,Banks County,Female Breast,Female,84.5,47,45060
Georgia,Emanuel County,Female Breast,Female,94.4,69,57204
Georgia,Catoosa County,Female Breast,Female,87.4,185,168580
Georgia,Murray County,Female Breast,Female,94.2,106,99594
Georgia,Brooks County,Female Breast,Female,84.9,47,40007
Georgia,Randolph County,Female Breast,Female,92.2,27,19555
Georgia,Jefferson County,Female Breast,Female,97.6,54,41534
Georgia,McIntosh County,Female Breast,Female,95.7,54,35724
Georgia,Whitfield County,Female Breast,Female,100.1,280,260458
Georgia,Gordon County,Female Breast,Female,103.9,170,141784
Georgia,Long County,Female Breast,Female,100.6,36,43008
Georgia,Treutlen County,Female Breast,Female,100.1,21,16765
Georgia,Dawson County,Female Breast,Female,95,73,57672
Georgia,Jeff Davis County,Female Breast,Female,104.6,49,38064
Georgia,Dade County,Female Breast,Female,105.6,56,41642
Georgia,Appling County,Female Breast,Female,102.1,56,46099
Georgia,Ben Hill County,Female Breast,Female,103.2,58,45461
Georgia,Brantley County,Female Breast,Female,95.7,53,46319
Georgia,Walker County,Female Breast,Female,96,212,173856
Georgia,Dodge County,Female Breast,Female,102.5,66,50848
Georgia,Pike County,Female Breast,Female,102.6,56,45268
Georgia,Early County,Female Breast,Female,103.6,36,27822
Georgia,Lamar County,Female Breast,Female,115.3,63,47431
Georgia,Heard County,Female Breast,Female,115.7,44,29118
Georgia,Haralson County,Female Breast,Female,110.6,101,73642
Georgia,Wilkinson County,Female Breast,Female,116.6,37,24156
Georgia,Grady County,Female Breast,Female,111.1,90,64981
Georgia,Worth County,Female Breast,Female,111.4,78,54378
Georgia,Lumpkin County,Female Breast,Female,109.9,103,78465
Georgia,McDuffie County,Female Breast,Female,116.4,83,57024
Georgia,Schley County,Female Breast,Female,115.5,18,13399
Georgia,Jasper County,Female Breast,Female,115.8,49,34815
Georgia,Chattahoochee County,Female Breast,Female,Data Suppressed,Data Suppressed,19254
Georgia,Jenkins County,Female Breast,Female,127.8,36,20964
Georgia,Lanier County,Female Breast,Female,134.9,38,25646
Georgia,Laurens County,Female Breast,Female,123.2,191,124752
Georgia,Henry County,Female Breast,Female,134.5,784,558203
Georgia,Wheeler County,Female Breast,Female,Data Suppressed,Data Suppressed,13903
Georgia,White County,Female Breast,Female,122.8,129,71931
Georgia,Polk County,Female Breast,Female,121.1,154,104821
Georgia,Washington County,Female Breast,Female,155.6,104,50798
Georgia,Wayne County,Female Breast,Female,124.8,107,72609
Georgia,Webster County,Female Breast,Female,Data Suppressed,Data Suppressed,6629
Georgia,Hancock County,Female Breast,Female,118.1,34,19817
Georgia,Harris County,Female Breast,Female,126.1,136,82413
Georgia,Hart County,Female Breast,Female,118,109,64515
Georgia,Glynn County,Female Breast,Female,130.2,365,217490
Georgia,Wilkes County,Female Breast,Female,153.5,62,25951
Georgia,Mitchell County,Female Breast,Female,135.7,94,54377
Georgia,Meriwether County,Female Breast,Female,128.6,96,55210
Georgia,Miller County,Female Breast,Female,124.5,27,15348
Georgia,Walton County,Female Breast,Female,118.9,308,224298
Georgia,Greene County,Female Breast,Female,149.5,106,42468
Georgia,Ware County,Female Breast,Female,126.4,145,89821
Georgia,Gwinnett County,Female Breast,Female,127.8,2762,2228777
Georgia,Bulloch County,Female Breast,Female,119.4,199,185580
Georgia,Burke County,Female Breast,Female,130.8,92,59182
Georgia,Jones County,Female Breast,Female,129.8,115,73624
Georgia,Lowndes County,Female Breast,Female,122.1,336,289750
Georgia,Lincoln County,Female Breast,Female,129.3,39,19803
Georgia,Screven County,Female Breast,Female,139.2,66,35898
Georgia,Troup County,Female Breast,Female,124.7,253,179182
Georgia,Houston County,Female Breast,Female,120.1,485,381903
Georgia,Irwin County,Female Breast,Female,122.6,35,22769
Georgia,Liberty County,Female Breast,Female,119.9,155,155059
Georgia,Coweta County,Female Breast,Female,118,454,347020
Georgia,Crawford County,Female Breast,Female,123.5,51,30928
Georgia,Jackson County,Female Breast,Female,123.6,228,157719
Georgia,Cook County,Female Breast,Female,136.5,72,44474
Georgia,Crisp County,Female Breast,Female,115.3,90,60871
Georgia,Decatur County,Female Breast,Female,113.3,96,69807
Georgia,Fannin County,Female Breast,Female,113.4,111,61957
Georgia,Evans County,Female Breast,Female,138,42,27579
Georgia,Atkinson County,Female Breast,Female,126.4,28,20606
Georgia,Monroe County,Female Breast,Female,106.8,102,66632
Georgia,Charlton County,Female Breast,Female,107.5,36,26352
Georgia,Baker County,Female Breast,Female,127.4,16,8487
Georgia,Bacon County,Female Breast,Female,128.9,43,28572
Georgia,Fayette County,Female Breast,Female,135.5,490,281548
Georgia,Carroll County,Female Breast,Female,115.3,352,291100
Georgia,Montgomery County,Female Breast,Female,133.3,35,21633
Georgia,Morgan County,Female Breast,Female,133.8,83,46243
Georgia,Camden County,Female Breast,Female,129.4,160,125922
Georgia,Newton County,Female Breast,Female,133.1,386,271789
Georgia,Muscogee County,Female Breast,Female,135.4,753,508949
Georgia,Thomas County,Female Breast,Female,123.2,185,118053
Georgia,Spalding County,Female Breast,Female,129.6,267,165161
Georgia,Stephens County,Female Breast,Female,119,106,66715
Georgia,Seminole County,Female Breast,Female,116.4,37,22649
Georgia,Sumter County,Female Breast,Female,122.1,117,81625
Georgia,Stewart County,Female Breast,Female,113.9,19,11139
Georgia,Toombs County,Female Breast,Female,109.1,92,71653
Georgia,Towns County,Female Breast,Female,125.5,66,28786
Georgia,Tift County,Female Breast,Female,130.6,156,104734
Georgia,Turner County,Female Breast,Female,118.8,33,20679
Georgia,Chatham County,Female Breast,Female,133.1,1072,731283
Georgia,Bartow County,Female Breast,Female,114.9,332,257759
Georgia,Clay County,Female Breast,Female,Data Suppressed,Data Suppressed,8184
Georgia,Pierce County,Female Breast,Female,112.8,72,48248
Georgia,DeKalb County,Female Breast,Female,134.1,2677,1909233
Georgia,Richmond County,Female Breast,Female,134,768,518446
Georgia,Madison County,Female Breast,Female,126.9,114,71773
Georgia,Lee County,Female Breast,Female,111.5,87,72398
Georgia,Bleckley County,Female Breast,Female,107.2,41,33345
Georgia,Elbert County,Female Breast,Female,133.8,91,50512
Georgia,Echols County,Female Breast,Female,Data Suppressed,Data Suppressed,9985
Georgia,Butts County,Female Breast,Female,108.7,77,54873
Georgia,Calhoun County,Female Breast,Female,116,20,13065
Georgia,Peach County,Female Breast,Female,111.8,90,70056
Georgia,Macon County,Female Breast,Female,117,46,31622
Georgia,Habersham County,Female Breast,Female,112.3,158,114860
Georgia,Berrien County,Female Breast,Female,114.2,70,48128
Georgia,Effingham County,Female Breast,Female,129.7,188,140273
Georgia,Oglethorpe County,Female Breast,Female,125.7,61,36981
Georgia,Cherokee County,Female Breast,Female,125,814,585162
Georgia,Tattnall County,Female Breast,Female,141.7,92,53738
Georgia,Pickens County,Female Breast,Female,142.9,149,75948
Georgia,Baldwin County,Female Breast,Female,118.3,148,113412
Georgia,Barrow County,Female Breast,Female,119.2,238,186393
Georgia,Union County,Female Breast,Female,124.3,135,56460
Georgia,Upson County,Female Breast,Female,129.1,116,68973
Georgia,Warren County,Female Breast,Female,209.2,41,14469
Georgia,Rockdale County,Female Breast,Female,131.6,353,230678
Georgia,Clayton County,Female Breast,Female,129.1,855,712235
Georgia,Bibb County,Female Breast,Female,131.3,616,408805
Georgia,Oconee County,Female Breast,Female,142.5,150,89479
Georgia,Hall County,Female Breast,Female,119.5,640,476269
Georgia,Bryan County,Female Breast,Female,127.9,107,85439
Georgia,Colquitt County,Female Breast,Female,118.3,157,115782
Georgia,Columbia County,Female Breast,Female,131.7,516,358278
Georgia,Talbot County,Female Breast,Female,114,29,17090
Georgia,Taliaferro County,Female Breast,Female,Data Suppressed,Data Suppressed,4241
Georgia,Dougherty County,Female Breast,Female,129.1,352,248149
Georgia,Paulding County,Female Breast,Female,131.9,501,382469
Georgia,Clarke County,Female Breast,Female,125.6,334,319471
Georgia,Forsyth County,Female Breast,Female,125.6,690,511317
Georgia,Floyd County,Female Breast,Female,120.1,366,247972
Georgia,Franklin County,Female Breast,Female,137.6,99,56488
Georgia,Chattooga County,Female Breast,Female,118.1,92,60975
Georgia,Fulton County,Female Breast,Female,132.8,3490,2566043
Georgia,Glascock County,Female Breast,Female,Data Suppressed,Data Suppressed,7800
Georgia,Gilmer County,Female Breast,Female,126.8,133,72645
Georgia,Taylor County,Female Breast,Female,119.2,34,21691
Georgia,Terrell County,Female Breast,Female,131.7,39,23607
Georgia,Douglas County,Female Breast,Female,145.6,547,360249
Georgia,Rabun County,Female Breast,Female,117,79,41437
Georgia,Clinch County,Female Breast,Female,124.8,24,17370
Georgia,Cobb County,Female Breast,Female,138.4,2744,1882930
Georgia,Coffee County,Female Breast,Female,113.4,135,105205
Georgia,Putnam County,Female Breast,Female,118.6,103,54725
Georgia,Quitman County,Female Breast,Female,182.5,17,6008
Florida,Holmes County,Female Breast,Female,61.1,39,45627
Florida,Madison County,Female Breast,Female,67.9,44,44033
Florida,Franklin County,Female Breast,Female,86.1,32,24803
Florida,Lafayette County,Female Breast,Female,78.2,19,17638
Florida,Jackson County,Female Breast,Female,78.4,116,109140
Florida,Washington County,Female Breast,Female,79.6,58,55650
Florida,Collier County,Female Breast,Female,93,1332,885026
Florida,Gadsden County,Female Breast,Female,99.4,152,121275
Florida,DeSoto County,Female Breast,Female,90.4,94,76595
Florida,Hamilton County,Female Breast,Female,97.6,36,30199
Florida,Hendry County,Female Breast,Female,86.2,86,91586
Florida,Jefferson County,Female Breast,Female,104.3,46,33689
Florida,Calhoun County,Female Breast,Female,87.6,40,32948
Florida,Monroe County,Female Breast,Female,98.2,264,180980
Florida,Glades County,Female Breast,Female,107.9,47,28137
Florida,Gulf County,Female Breast,Female,109,49,32036
Florida,Highlands County,Female Breast,Female,112.5,488,254833
Florida,Hardee County,Female Breast,Female,104.3,79,63820
Florida,Citrus County,Female Breast,Female,110.8,750,361672
Florida,Wakulla County,Female Breast,Female,106.6,92,70327
Florida,Miami-Dade County,Female Breast,Female,106.2,8965,6878862
Florida,Manatee County,Female Breast,Female,112.2,1563,912580
Florida,Baker County,Female Breast,Female,106.8,82,65169
Florida,Walton County,Female Breast,Female,105.7,219,150635
Florida,Lee County,Female Breast,Female,111.1,2957,1738241
Florida,Osceola County,Female Breast,Female,113,968,794126
Florida,Liberty County,Female Breast,Female,109,21,16002
Florida,Taylor County,Female Breast,Female,106.5,74,49303
Florida,Orange County,Female Breast,Female,110.4,3622,3207108
Florida,Sumter County,Female Breast,Female,105.7,769,276329
Florida,Santa Rosa County,Female Breast,Female,117.3,572,399542
Florida,St. Lucie County,Female Breast,Female,114.9,1216,748187
Florida,Clay County,Female Breast,Female,118,718,507089
Florida,Columbia County,Female Breast,Female,124.9,269,163938
Florida,Gilchrist County,Female Breast,Female,129.6,71,41052
Florida,Dixie County,Female Breast,Female,130.2,69,36987
Florida,Escambia County,Female Breast,Female,126,1204,774133
Florida,Hillsborough County,Female Breast,Female,122.4,4645,3396717
Florida,Lake County,Female Breast,Female,125.1,1591,820082
Florida,Hernando County,Female Breast,Female,118.5,874,459364
Florida,St. Johns County,Female Breast,Female,130.5,969,559263
Florida,Duval County,Female Breast,Female,133.4,3470,2319694
Florida,Polk County,Female Breast,Female,127.2,2750,1626575
Florida,Putnam County,Female Breast,Female,115,306,182917
Florida,Broward County,Female Breast,Female,121.8,7170,4793137
Florida,Charlotte County,Female Breast,Female,114,909,434436
Florida,Flagler County,Female Breast,Female,114.9,543,266150
Florida,Pinellas County,Female Breast,Female,127,4708,2443756
Florida,Volusia County,Female Breast,Female,113.3,2243,1308644
Florida,Union County,Female Breast,Female,179.7,53,26751
Florida,Nassau County,Female Breast,Female,130.2,363,194913
Florida,Marion County,Female Breast,Female,123.3,1788,882695
Florida,Martin County,Female Breast,Female,132.1,847,387832
Florida,Seminole County,Female Breast,Female,118.1,1636,1144378
Florida,Bay County,Female Breast,Female,122.2,692,447116
Florida,Sarasota County,Female Breast,Female,127.8,2336,1040835
Florida,Alachua County,Female Breast,Female,134.9,895,662805
Florida,Bradford County,Female Breast,Female,117.2,88,60974
Florida,Brevard County,Female Breast,Female,124.1,2665,1431068
Florida,Leon County,Female Breast,Female,114.6,819,745663
Florida,Pasco County,Female Breast,Female,118,2108,1250343
Florida,Levy County,Female Breast,Female,116.1,182,100779
Florida,Palm Beach County,Female Breast,Female,121.3,6364,3620895
Florida,Suwannee County,Female Breast,Female,116,169,104031
Florida,Indian River County,Female Breast,Female,113,734,377506
Florida,Okaloosa County,Female Breast,Female,116.5,681,480227
Florida,Okeechobee County,Female Breast,Female,114.8,146,92456
South Carolina,Allendale County,Female Breast,Female,83.7,30,22371
South Carolina,Dillon County,Female Breast,Female,102.1,104,82369
South Carolina,Chesterfield County,Female Breast,Female,113.6,173,118296
South Carolina,Marion County,Female Breast,Female,114.2,126,86482
South Carolina,Edgefield County,Female Breast,Female,109.4,94,61321
South Carolina,Greenwood County,Female Breast,Female,108.6,259,185993
South Carolina,Colleton County,Female Breast,Female,122.2,164,97827
South Carolina,Darlington County,Female Breast,Female,120.8,277,178722
South Carolina,Clarendon County,Female Breast,Female,120.5,151,87082
South Carolina,Abbeville County,Female Breast,Female,114.3,100,64043
South Carolina,Hampton County,Female Breast,Female,120.9,77,49299
South Carolina,Laurens County,Female Breast,Female,121.3,264,171280
South Carolina,Horry County,Female Breast,Female,120.1,1307,773145
South Carolina,Orangeburg County,Female Breast,Female,119.5,375,238460
South Carolina,Florence County,Female Breast,Female,127.6,581,368344
South Carolina,Newberry County,Female Breast,Female,122.6,164,96516
South Carolina,Oconee County,Female Breast,Female,125.2,353,191210
South Carolina,Cherokee County,Female Breast,Female,125.3,218,144544
South Carolina,Bamberg County,Female Breast,Female,128.9,66,39300
South Carolina,Barnwell County,Female Breast,Female,123.4,90,57560
South Carolina,Berkeley County,Female Breast,Female,124,676,499259
South Carolina,Marlboro County,Female Breast,Female,122.5,109,65358
South Carolina,Anderson County,Female Breast,Female,127.1,814,498043
South Carolina,Aiken County,Female Breast,Female,123.6,692,424924
South Carolina,Jasper County,Female Breast,Female,126.2,108,65664
South Carolina,Lee County,Female Breast,Female,130.5,75,43805
South Carolina,Lexington County,Female Breast,Female,129.5,1099,711495
South Carolina,Williamsburg County,Female Breast,Female,123.5,142,84124
South Carolina,York County,Female Breast,Female,127.8,933,634617
South Carolina,Saluda County,Female Breast,Female,126.4,80,49759
South Carolina,McCormick County,Female Breast,Female,155.9,63,22213
South Carolina,Beaufort County,Female Breast,Female,132.7,874,444732
South Carolina,Fairfield County,Female Breast,Female,148.2,122,60151
South Carolina,Chester County,Female Breast,Female,143.2,159,84012
South Carolina,Calhoun County,Female Breast,Female,135.1,75,38246
South Carolina,Charleston County,Female Breast,Female,134.1,1549,981277
South Carolina,Dorchester County,Female Breast,Female,131.3,548,381858
South Carolina,Union County,Female Breast,Female,137.7,138,73022
South Carolina,Sumter County,Female Breast,Female,133.3,435,278208
South Carolina,Kershaw County,Female Breast,Female,133.3,278,162765
South Carolina,Greenville County,Female Breast,Female,136.2,1991,1240621
South Carolina,Lancaster County,Female Breast,Female,131.2,373,214602
South Carolina,Pickens County,Female Breast,Female,131.4,468,302426
South Carolina,Georgetown County,Female Breast,Female,133.7,325,159460
South Carolina,Richland County,Female Breast,Female,142.8,1514,1032310
South Carolina,Spartanburg County,Female Breast,Female,134.1,1225,757346
North Carolina,Greene County,Female Breast,Female,71.7,46,48314
North Carolina,Hyde County,Female Breast,Female,90.5,19,12407
North Carolina,Alleghany County,Female Breast,Female,96.9,47,27487
North Carolina,Gates County,Female Breast,Female,91.3,38,29770
North Carolina,Wilkes County,Female Breast,Female,94.1,230,173857
North Carolina,Polk County,Female Breast,Female,100,92,53072
North Carolina,Bladen County,Female Breast,Female,100.9,122,89556
North Carolina,Robeson County,Female Breast,Female,102.2,405,348781
North Carolina,Stokes County,Female Breast,Female,106.1,179,118262
North Carolina,Columbus County,Female Breast,Female,106.1,212,144343
North Carolina,Warren County,Female Breast,Female,106.9,88,50647
North Carolina,Montgomery County,Female Breast,Female,103,101,70647
North Carolina,Jackson County,Female Breast,Female,103.8,140,104926
North Carolina,Hoke County,Female Breast,Female,108.4,131,131171
North Carolina,Burke County,Female Breast,Female,113.8,366,224389
North Carolina,Beaufort County,Female Breast,Female,116.8,209,123356
North Carolina,Caswell County,Female Breast,Female,116.6,97,56532
North Carolina,Yadkin County,Female Breast,Female,112.6,149,95832
North Carolina,Graham County,Female Breast,Female,118.7,39,21872
North Carolina,Rutherford County,Female Breast,Female,111.7,280,172062
North Carolina,Transylvania County,Female Breast,Female,117.2,174,85466
North Carolina,Dare County,Female Breast,Female,116.8,147,88495
North Carolina,McDowell County,Female Breast,Female,117.2,189,112556
North Carolina,Perquimans County,Female Breast,Female,111.6,72,35153
North Carolina,Harnett County,Female Breast,Female,116.4,378,320136
North Carolina,Johnston County,Female Breast,Female,116.5,604,463297
North Carolina,Jones County,Female Breast,Female,116.1,47,25329
North Carolina,Clay County,Female Breast,Female,117.3,61,27153
North Carolina,Moore County,Female Breast,Female,118.3,435,241684
North Carolina,Hertford County,Female Breast,Female,110.6,97,61670
North Carolina,Carteret County,Female Breast,Female,128.2,332,173902
North Carolina,Brunswick County,Female Breast,Female,120.5,628,306399
North Carolina,Camden County,Female Breast,Female,129.3,43,25778
North Carolina,Ashe County,Female Breast,Female,119.9,120,67918
North Carolina,Alexander County,Female Breast,Female,128.9,162,91182
North Carolina,Rowan County,Female Breast,Female,119.3,531,349991
North Carolina,Randolph County,Female Breast,Female,123.6,583,361764
North Carolina,Richmond County,Female Breast,Female,120.3,173,116880
North Carolina,Gaston County,Female Breast,Female,128.6,877,547710
North Carolina,Stanly County,Female Breast,Female,124.4,250,152577
North Carolina,Buncombe County,Female Breast,Female,147.2,1280,648578
North Carolina,Avery County,Female Breast,Female,146.4,86,39852
North Carolina,Bertie County,Female Breast,Female,137.4,103,50213
North Carolina,Chowan County,Female Breast,Female,147.9,73,38148
North Carolina,Caldwell County,Female Breast,Female,135.1,386,206936
North Carolina,Catawba County,Female Breast,Female,136.8,694,397313
North Carolina,Chatham County,Female Breast,Female,132.8,351,174137
North Carolina,Cabarrus County,Female Breast,Female,139.9,769,493240
North Carolina,Cherokee County,Female Breast,Female,138.9,154,70150
North Carolina,Anson County,Female Breast,Female,135,106,61512
North Carolina,Alamance County,Female Breast,Female,147,755,408974
North Carolina,Halifax County,Female Breast,Female,140.2,266,137722
North Carolina,Rockingham County,Female Breast,Female,133.8,437,238014
North Carolina,Forsyth County,Female Breast,Female,141.4,1607,958120
North Carolina,Edgecombe County,Female Breast,Female,127,241,146572
North Carolina,Wilson County,Female Breast,Female,125.4,341,213901
North Carolina,Davidson County,Female Breast,Female,127,695,418019
North Carolina,Davie County,Female Breast,Female,154.4,228,106555
North Carolina,Granville County,Female Breast,Female,124.2,223,142215
North Carolina,Orange County,Female Breast,Female,151.2,581,367476
North Carolina,Pamlico County,Female Breast,Female,143.4,74,31362
North Carolina,Pasquotank County,Female Breast,Female,154,193,101238
North Carolina,Swain County,Female Breast,Female,139.6,67,36442
North Carolina,Cleveland County,Female Breast,Female,134.8,458,251852
North Carolina,Craven County,Female Breast,Female,126.7,412,256295
North Carolina,Guilford County,Female Breast,Female,145.8,2252,1345393
North Carolina,Tyrrell County,Female Breast,Female,148.6,20,9435
North Carolina,Union County,Female Breast,Female,130.5,779,551764
North Carolina,Yancey County,Female Breast,Female,121,82,44675
North Carolina,Vance County,Female Breast,Female,138.2,205,118688
North Carolina,Wake County,Female Breast,Female,143.7,3762,2570284
North Carolina,Currituck County,Female Breast,Female,130.4,105,62736
North Carolina,Cumberland County,Female Breast,Female,127.2,1057,834686
North Carolina,Lincoln County,Female Breast,Female,129.1,342,200819
North Carolina,Mecklenburg County,Female Breast,Female,139.1,3665,2629129
North Carolina,Mitchell County,Female Breast,Female,129.3,73,38679
