State,County,Normalization 
Alabama,Autauga County,Autauga County
Alabama,Barbour County,Barbour County
Alabama,Blount County,Blount County
Alabama,Butler County,Butler County
Alabama,Chambers County,Chambers County
Alabama,Chilton County,Chilton County
Alabama,Colbert County,Colbert County
Alabama,Coosa County,Coosa County
Alabama,Covington County,Covington County
Alabama,Cullman County,Cullman County
Alabama,DeKalb County,DeKalb County
Alabama,Elmore County,Elmore County
Alabama,Escambia County,Escambia County
Alabama,Etowah County,Etowah County
Alabama,Franklin County,Franklin County
Alabama,Geneva County,Geneva County
Alabama,Greene County,Greene County
Alabama,Hale County,Hale County
Alabama,Jackson County,Jackson County
Alabama,Jefferson County,Jefferson County
Alabama,Lamar County,Lamar County
Alabama,Lawrence County,Lawrence County
Alabama,Lee County,Lee County
Alabama,Marion County,Marion County
Alabama,Mobile County,Mobile County
Alabama,Morgan County,Morgan County
Alabama,Pickens County,Pickens County
Alabama,Randolph County,Randolph County
Alabama,Shelby County,Shelby County
Alabama,St. Clair County,St. Clair County
Alabama,Sumter County,Sumter County
Alabama,Talladega County,Talladega County
Alabama,Tallapoosa County,Tallapoosa County
Alabama,Tuscaloosa County,Tuscaloosa County
Alabama,Walker County,Walker County
Alabama,Washington County,Washington County
Arkansas,Arkansas County,Arkansas County
Arkansas,Ashley County,Ashley County
Arkansas,Benton County,Benton County
Arkansas,Bradley County,Bradley County
Arkansas,Clay County,Clay County
Arkansas,Cleburne County,Cleburne County
Arkansas,Columbia County,Columbia County
Arkansas,Conway County,Conway County
Arkansas,Craighead County,Craighead County
Arkansas,Crawford County,Crawford County
Arkansas,Dallas County,Dallas County
Arkansas,Faulkner County,Faulkner County
Arkansas,Fulton County,Fulton County
Arkansas,Garland County,Garland County
Arkansas,Grant County,Grant County
Arkansas,Greene County,Greene County
Arkansas,Hot Spring County,Hot Spring County
Arkansas,Jackson County,Jackson County
Arkansas,Lee County,Lee County
Arkansas,Little River County,Little River County
Arkansas,Lonoke County,Lonoke County
Arkansas,Madison County,Madison County
Arkansas,Marion County,Marion County
Arkansas,Mississippi County,Mississippi County
Arkansas,Montgomery County,Montgomery County
Arkansas,Newton County,Newton County
Arkansas,Ouachita County,Ouachita County
Arkansas,Perry County,Perry County
Arkansas,Phillips County,Phillips County
Arkansas,Pike County,Pike County
Arkansas,Polk County,Polk County
Arkansas,Pope County,Pope County
Arkansas,Pulaski County,Pulaski County
Arkansas,Randolph County,Randolph County
Arkansas,Saline County,Saline County
Arkansas,Sebastian County,Sebastian County
Arkansas,St. Francis County,St. Francis County
Arkansas,Union County,Union County
Arkansas,Van Buren County,Van Buren County
Arkansas,Washington County,Washington County
Arkansas,White County,White County
Arkansas,Woodruff County,Woodruff County
Connecticut,Fairfield County,Fairfield County
Connecticut,Litchfield County,Litchfield County
Connecticut,New Haven County,New Haven County
Connecticut,New London County,New London County
Connecticut,Tolland County,Tolland County
Connecticut,Windham County,Windham County
Delaware,Kent County,Kent County
Delaware,New Castle County,New Castle County
Delaware,Sussex County,Sussex County
Florida,Alachua County,Alachua County
Florida,Baker County,Baker County
Florida,Brevard County,Brevard County
Florida,Broward County,Broward County
Florida,Citrus County,Citrus County
Florida,Clay County,Clay County
Florida,Collier County,Collier County
Florida,Dixie County,Dixie County
Florida,Escambia County,Escambia County
Florida,Flagler County,Flagler County
Florida,Gadsden County,Gadsden County
Florida,Hardee County,Hardee County
Florida,Hernando County,Hernando County
Florida,Hillsborough County,Hillsborough County
Florida,Indian River County,Indian River County
Florida,Jackson County,Jackson County
Florida,Lake County,Lake County
Florida,Lee County,Lee County
Florida,Levy County,Levy County
Florida,Liberty County,Liberty County
Florida,Manatee County,Manatee County
Florida,Miami-Dade County,Miami-Dade County
Florida,Nassau County,Nassau County
Florida,Okaloosa County,Okaloosa County
Florida,Orange County,Orange County
Florida,Palm Beach County,Palm Beach County
Florida,Pasco County,Pasco County
Florida,Pinellas County,Pinellas County
Florida,Polk County,Polk County
Florida,Santa Rosa County,Santa Rosa County
Florida,Sarasota County,Sarasota County
Florida,St. Johns County,St. Johns County
Florida,St. Lucie County,St. Lucie County
Florida,Volusia County,Volusia County
Florida,Wakulla County,Wakulla County
Florida,Washington County,Washington County
Georgia,Appling County,Appling County
Georgia,Banks County,Banks County
Georgia,Barrow County,Barrow County
Georgia,Bartow County,Bartow County
Georgia,Brooks County,Brooks County
Georgia,Calhoun County,Calhoun County
Georgia,Carroll County,Carroll County
Georgia,Cherokee County,Cherokee County
Georgia,Cobb County,Cobb County
Georgia,Dade County,Dade County
Georgia,Decatur County,Decatur County
Georgia,DeKalb County,DeKalb County
Georgia,Dodge County,Dodge County
Georgia,Dougherty County,Dougherty County
Georgia,Emanuel County,Emanuel County
Georgia,Evans County,Evans County
Georgia,Floyd County,Floyd County
Georgia,Franklin County,Franklin County
Georgia,Fulton County,Fulton County
Georgia,Greene County,Greene County
Georgia,Gwinnett County,Gwinnett County
Georgia,Habersham County,Habersham County
Georgia,Hall County,Hall County
Georgia,Harris County,Harris County
Georgia,Hart County,Hart County
Georgia,Henry County,Henry County
Georgia,Jackson County,Jackson County
Georgia,Jeff Davis County,Jeff Davis County
Georgia,Jenkins County,Jenkins County
Georgia,Laurens County,Laurens County
Georgia,Long County,Long County
Georgia,Lowndes County,Lowndes County
Georgia,Macon County,Macon County
Georgia,Mitchell County,Mitchell County
Georgia,Morgan County,Morgan County
Georgia,Muscogee,Muscogee County
Georgia,Newton County,Newton County
Georgia,Oconee County,Oconee County
Georgia,Peach County,Peach County
Georgia,Pierce County,Pierce County
Georgia,Pike County,Pike County
Georgia,Richmond County,Richmond County
Georgia,Screven County,Screven County
Georgia,Sumter County,Sumter County
Georgia,Taylor County,Taylor County
Georgia,Terrell County,Terrell County
Georgia,Upson County,Upson County
Georgia,Walker County,Walker County
Georgia,Washington County,Washington County
Georgia,Wilkinson County,Wilkinson County
Illinois,Adams County,Adams County
Illinois,Bond County,Bond County
Illinois,Boone County,Boone County
Illinois,Brown County,Brown County
Illinois,Bureau County,Bureau County
Illinois,Calhoun County,Calhoun County
Illinois,Carroll County,Carroll County
Illinois,Champaign County,Champaign County
Illinois,Clay County,Clay County
Illinois,Clinton County,Clinton County
Illinois,Coles County,Coles County
Illinois,Cook County,Cook County
Illinois,Crawford County,Crawford County
Illinois,Cumberland County,Cumberland County
Illinois,DuPage County,DuPage County
Illinois,Franklin County,Franklin County
Illinois,Fulton County,Fulton County
Illinois,Grundy County,Grundy County
Illinois,Hamilton County,Hamilton County
Illinois,Hancock County,Hancock County
Illinois,Hardin County,Hardin County
Illinois,Henderson County,Henderson County
Illinois,Iroquois County,Iroquois County
Illinois,Jefferson County,Jefferson County
Illinois,Johnson County,Johnson County
Illinois,Kane County,Kane County
Illinois,Kendall County,Kendall County
Illinois,Knox County,Knox County
Illinois,Lake County,Lake County
Illinois,LaSalle County,LaSalle County
Illinois,Lawrence County,Lawrence County
Illinois,Livingston County,Livingston County
Illinois,Logan County,Logan County
Illinois,Macon County,Macon County
Illinois,Macoupin County,Macoupin County
Illinois,Madison County,Madison County
Illinois,Marion County,Marion County
Illinois,Mason County,Mason County
Illinois,Massac County,Massac County
Illinois,McHenry County,McHenry County
Illinois,McLean County,McLean County
Illinois,Menard County,Menard County
Illinois,Mercer County,Mercer County
Illinois,Monroe County,Monroe County
Illinois,Montgomery County,Montgomery County
Illinois,Moultrie County,Moultrie County
Illinois,Ogle County,Ogle County
Illinois,Peoria County,Peoria County
Illinois,Perry County,Perry County
Illinois,Piatt County,Piatt County
Illinois,Pike County,Pike County
Illinois,Pulaski County,Pulaski County
Illinois,Richland County,Richland County
Illinois,Rock Island County,Rock Island County
Illinois,Sangamon County,Sangamon County
Illinois,Scott County,Scott County
Illinois,Shelby County,Shelby County
Illinois,Stephenson County,Stephenson County
Illinois,Tazewell County,Tazewell County
Illinois,Union County,Union County
Illinois,Vermilion County,Vermilion County
Illinois,Wabash County,Wabash County
Illinois,Washington County,Washington County
Illinois,Wayne County,Wayne County
Illinois,White County,White County
Illinois,Whiteside County,Whiteside County
Illinois,Will County,Will County
Illinois,Williamson County,Williamson County
Illinois,Winnebago County,Winnebago County
Illinois,Woodford County,Woodford County
Indiana,Adams County,Adams County
Indiana,Allen County,Allen County
Indiana,Bartholomew County,Bartholomew County
Indiana,Benton County,Benton County
Indiana,Boone County,Boone County
Indiana,Carroll County,Carroll County
Indiana,Clark County,Clark County
Indiana,Clinton County,Clinton County
Indiana,Crawford County,Crawford County
Indiana,DeKalb County,DeKalb County
Indiana,Elkhart County,Elkhart County
Indiana,Floyd County,Floyd County
Indiana,Franklin County,Franklin County
Indiana,Gibson County,Gibson County
Indiana,Grant County,Grant County
Indiana,Harrison County,Harrison County
Indiana,Hendricks County,Hendricks County
Indiana,Henry County,Henry County
Indiana,Jackson County,Jackson County
Indiana,Jay County,Jay County
Indiana,Johnson County,Johnson County
Indiana,Knox County,Knox County
Indiana,Kosciusko County,Kosciusko County
Indiana,Lake County,Lake County
Indiana,LaPorte County,LaPorte County
Indiana,Madison County,Madison County
Indiana,Marion County,Marion County
Indiana,Miami County,Miami County
Indiana,Monroe County,Monroe County
Indiana,Montgomery County,Montgomery County
Indiana,Morgan County,Morgan County
Indiana,Noble County,Noble County
Indiana,Parke County,Parke County
Indiana,Porter County,Porter County
Indiana,Posey County,Posey County
Indiana,Putnam County,Putnam County
Indiana,Rush County,Rush County
Indiana,Shelby County,Shelby County
Indiana,Spencer County,Spencer County
Indiana,St. Joseph County,St. Joseph County
Indiana,Steuben County,Steuben County
Indiana,Switzerland County,Switzerland County
Indiana,Tipton County,Tipton County
Indiana,Vigo County,Vigo County
Indiana,Warren County,Warren County
Indiana,Warrick County,Warrick County
Indiana,Washington County,Washington County
Indiana,Wayne County,Wayne County
Indiana,White County,White County
Indiana,Whitley County,Whitley County
Iowa,Adair County,Adair County
Iowa,Adams County,Adams County
Iowa,Appanoose County,Appanoose County
Iowa,Benton County,Benton County
Iowa,Boone County,Boone County
Iowa,Buchanan County,Buchanan County
Iowa,Butler County,Butler County
Iowa,Calhoun County,Calhoun County
Iowa,Carroll County,Carroll County
Iowa,Cass County,Cass County
Iowa,Cerro Gordo County,Cerro Gordo County
Iowa,Cherokee County,Cherokee County
Iowa,Clarke County,Clarke County
Iowa,Clay County,Clay County
Iowa,Clayton County,Clayton County
Iowa,Clinton County,Clinton County
Iowa,Crawford County,Crawford County
Iowa,Dallas County,Dallas County
Iowa,Delaware County,Delaware County
Iowa,Dubuque County,Dubuque County
Iowa,Fayette County,Fayette County
Iowa,Franklin County,Franklin County
Iowa,Greene County,Greene County
Iowa,Grundy County,Grundy County
Iowa,Guthrie County,Guthrie County
Iowa,Hardin County,Hardin County
Iowa,Harrison County,Harrison County
Iowa,Henry County,Henry County
Iowa,Humboldt County,Humboldt County
Iowa,Ida County,Ida County
Iowa,Iowa County,Iowa County
Iowa,Jackson County,Jackson County
Iowa,Jasper County,Jasper County
Iowa,Jefferson County,Jefferson County
Iowa,Johnson County,Johnson County
Iowa,Keokuk County,Keokuk County
Iowa,Linn County,Linn County
Iowa,Louisa County,Louisa County
Iowa,Lyon County,Lyon County
Iowa,Madison County,Madison County
Iowa,Mahaska County,Mahaska County
Iowa,Marion County,Marion County
Iowa,Marshall County,Marshall County
Iowa,Mitchell County,Mitchell County
Iowa,Monona County,Monona County
Iowa,Muscatine County,Muscatine County
Iowa,O'Brien County,OBrien County
Iowa,Osceola County,Osceola County
Iowa,Palo Alto County,Palo Alto County
Iowa,Pocahontas County,Pocahontas County
Iowa,Pottawattamie County,Pottawattamie County
Iowa,Poweshiek County,Poweshiek County
Iowa,Ringgold County,Ringgold County
Iowa,Scott County,Scott County
Iowa,Shelby County,Shelby County
Iowa,Sioux County,Sioux County
Iowa,Story County,Story County
Iowa,Tama County,Tama County
Iowa,Union County,Union County
Iowa,Warren County,Warren County
Iowa,Washington County,Washington County
Iowa,Webster County,Webster County
Iowa,Winneshiek County,Winneshiek County
Iowa,Woodbury County,Woodbury County
Iowa,Worth County,Worth County
Kentucky,Adair County,Adair County
Kentucky,Ballard County,Ballard County
Kentucky,Barren County,Barren County
Kentucky,Bath County,Bath County
Kentucky,Boone County,Boone County
Kentucky,Boyle County,Boyle County
Kentucky,Bracken County,Bracken County
Kentucky,Breathitt County,Breathitt County
Kentucky,Campbell County,Campbell County
Kentucky,Carlisle County,Carlisle County
Kentucky,Carroll County,Carroll County
Kentucky,Crittenden County,Crittenden County
Kentucky,Floyd County,Floyd County
Kentucky,Fulton County,Fulton County
Kentucky,Graves County,Graves County
Kentucky,Hardin County,Hardin County
Kentucky,Harlan County,Harlan County
Kentucky,Hart County,Hart County
Kentucky,Henderson County,Henderson County
Kentucky,Hopkins County,Hopkins County
Kentucky,Jefferson County,Jefferson County
Kentucky,Jessamine County,Jessamine County
Kentucky,Kenton County,Kenton County
Kentucky,Knott County,Knott County
Kentucky,Knox County,Knox County
Kentucky,Letcher County,Letcher County
Kentucky,Lewis County,Lewis County
Kentucky,Livingston County,Livingston County
Kentucky,Logan County,Logan County
Kentucky,Marion County,Marion County
Kentucky,Meade County,Meade County
Kentucky,Muhlenberg County,Muhlenberg County
Kentucky,Nelson County,Nelson County
Kentucky,Ohio County,Ohio County
Kentucky,Pike County,Pike County
Kentucky,Robertson County,Robertson County
Kentucky,Rockcastle County,Rockcastle County
Kentucky,Scott County,Scott County
Kentucky,Taylor County,Taylor County
Kentucky,Todd County,Todd County
Kentucky,Warren County,Warren County
Kentucky,Washington County,Washington County
Louisiana,Acadia Parish,Acadia Parish
Louisiana,Allen Parish,Allen Parish
Louisiana,Avoyelles Parish,Avoyelles Parish
Louisiana,Bienville Parish,Bienville Parish
Louisiana,Calcasieu Parish,Calcasieu Parish
Louisiana,Catahoula Parish,Catahoula Parish
Louisiana,De Soto Parish,De Soto Parish
Louisiana,East Baton Rouge Parish,East Baton Rouge Parish
Louisiana,Evangeline Parish,Evangeline Parish
Louisiana,Iberville Parish,Iberville Parish
Louisiana,Jefferson Parish,Jefferson Parish
Louisiana,Lafourche Parish,Lafourche Parish
Louisiana,LaSalle Parish,LaSalle Parish
Louisiana,Lincoln Parish,Lincoln Parish
Louisiana,Livingston Parish,Livingston Parish
Louisiana,Ouachita Parish,Ouachita Parish
Louisiana,Plaquemines Parish,Plaquemines Parish
Louisiana,Pointe Coupee Parish,Pointe Coupee Parish
Louisiana,Rapides Parish,Rapides Parish
Louisiana,Red River Parish,Red River Parish
Louisiana,St. Charles Parish,St. Charles Parish
Louisiana,St. James Parish,St. James Parish
Louisiana,St. Martin Parish,St. Martin Parish
Louisiana,St. Mary Parish,St. Mary Parish
Louisiana,St. Tammany Parish,St. Tammany Parish
Louisiana,Tangipahoa Parish,Tangipahoa Parish
Louisiana,Terrebonne Parish,Terrebonne Parish
Louisiana,Union Parish,Union Parish
Louisiana,Vernon Parish,Vernon Parish
Louisiana,Washington Parish,Washington Parish
Maine,Androscoggin County,Androscoggin County
Maine,Aroostook County,Aroostook County
Maine,Cumberland County,Cumberland County
Maine,Hancock County,Hancock County
Maine,Kennebec County,Kennebec County
Maine,Lincoln County,Lincoln County
Maine,Oxford County,Oxford County
Maine,Penobscot County,Penobscot County
Maryland,Allegany County,Allegany County
Maryland,Anne Arundel County,Anne Arundel County
Maryland,Baltimore County,Baltimore County
Maryland,Calvert County,Calvert County
Maryland,Caroline County,Caroline County
Maryland,Dorchester County,Dorchester County
Maryland,Frederick County,Frederick County
Maryland,Garrett County,Garrett County
Maryland,Harford County,Harford County
Maryland,Howard County,Howard County
Maryland,Montgomery County,Montgomery County
Maryland,Prince George's County,Prince Georges County
Maryland,Talbot County,Talbot County
Maryland,Washington County,Washington County
Maryland,Wicomico County,Wicomico County
Maryland,Worcester County,Worcester County
Massachusetts,Barnstable County,Barnstable County
Massachusetts,Berkshire County,Berkshire County
Massachusetts,Bristol County,Bristol County
Massachusetts,Essex County,Essex County
Massachusetts,Hampden County,Hampden County
Massachusetts,Middlesex County,Middlesex County
Massachusetts,Nantucket County,Nantucket County
Massachusetts,Norfolk County,Norfolk County
Massachusetts,Plymouth County,Plymouth County
Massachusetts,Worcester County,Worcester County
Michigan,Alcona County,Alcona County
Michigan,Alpena County,Alpena County
Michigan,Antrim County,Antrim County
Michigan,Barry County,Barry County
Michigan,Bay County,Bay County
Michigan,Benzie County,Benzie County
Michigan,Berrien County,Berrien County
Michigan,Branch County,Branch County
Michigan,Charlevoix County,Charlevoix County
Michigan,Clinton County,Clinton County
Michigan,Eaton County,Eaton County
Michigan,Emmet County,Emmet County
Michigan,Houghton County,Houghton County
Michigan,Huron County,Huron County
Michigan,Iosco County,Iosco County
Michigan,Isabella County,Isabella County
Michigan,Kalamazoo County,Kalamazoo County
Michigan,Kalkaska County,Kalkaska County
Michigan,Kent County,Kent County
Michigan,Livingston County,Livingston County
Michigan,Luce County,Luce County
Michigan,Macomb County,Macomb County
Michigan,Marquette County,Marquette County
Michigan,Mason County,Mason County
Michigan,Menominee County,Menominee County
Michigan,Monroe County,Monroe County
Michigan,Montmorency County,Montmorency County
Michigan,Muskegon County,Muskegon County
Michigan,Oakland County,Oakland County
Michigan,Ogemaw County,Ogemaw County
Michigan,Ontonagon County,Ontonagon County
Michigan,Osceola County,Osceola County
Michigan,Otsego County,Otsego County
Michigan,Presque Isle County,Presque Isle County
Michigan,Roscommon County,Roscommon County
Michigan,Saginaw County,Saginaw County
Michigan,Shiawassee County,Shiawassee County
Michigan,St. Clair County,St. Clair County
Michigan,St. Joseph County,St. Joseph County
Michigan,Tuscola County,Tuscola County
Michigan,Van Buren County,Van Buren County
Michigan,Washtenaw County,Washtenaw County
Michigan,Wayne County,Wayne County
Michigan,Wexford County,Wexford County
Mississippi,Adams County,Adams County
Mississippi,Attala County,Attala County
Mississippi,Benton County,Benton County
Mississippi,Bolivar County,Bolivar County
Mississippi,Calhoun County,Calhoun County
Mississippi,Choctaw County,Choctaw County
Mississippi,George County,George County
Mississippi,Greene County,Greene County
Mississippi,Harrison County,Harrison County
Mississippi,Holmes County,Holmes County
Mississippi,Jackson County,Jackson County
Mississippi,Lauderdale County,Lauderdale County
Mississippi,Lawrence County,Lawrence County
Mississippi,Lowndes County,Lowndes County
Mississippi,Monroe County,Monroe County
Mississippi,Montgomery County,Montgomery County
Mississippi,Oktibbeha County,Oktibbeha County
Mississippi,Perry County,Perry County
Mississippi,Quitman County,Quitman County
Mississippi,Rankin County,Rankin County
Mississippi,Simpson County,Simpson County
Mississippi,Smith County,Smith County
Mississippi,Sunflower County,Sunflower County
Mississippi,Tishomingo County,Tishomingo County
Mississippi,Tunica County,Tunica County
